VAR.P,8.38811E+22,1.928252551,47.20918367,2.3302E+30,2.713010204,44.67059949,9.992028061,4.371107266,871599499.3,5367568885938350000000000000000000000000000000,,All Good,1.94%,2.72%,0.76%,-1.30%,-3.84%,-0.73%,-6.22%,0.85%,-0.45%,-1.27%,0.78%,,,
VAR.S,8.54062E+22,1.963311688,48.06753247,2.37257E+30,2.762337662,45.48279221,10.1737013,4.503565062,898011605.3,5530222488542540000000000000000000000000000000,,All,3.12%,4.37%,1.23%,2.10%,6.17%,1.17%,9.99%,1.70%,0.89%,2.53%,1.25%,,,
AVEDEV,85125139109,1.176658163,5.548469388,4.55327E+14,1.297193878,5.839285714,2.626913265,1.892733564,22910.18685,34476081021979100000000,,m-eng,1205371697403,5.47,10.47,2855393046604,6.53,7.24,30.06,5.00,87867.94118,,,,,
SKEW,7.323156162,0.023748782,0.399476444,7.224015977,0.520678057,0.202287402,0.391435755,-0.733229693,0.548474365,4,,w-eng,86630469424,6.18,10.00,1070605834604,5.41,13.00,29.76,4.35,65097.23529,,,,,
SKEW.P,7.12552219,0.023107861,0.388695558,7.029057554,0.506626237,0.196828162,0.380871866,-0.700476539,0.523974176,4,,,,,,,,,,,,,,,,20.21599405
Men,,,,,,,,,,,,m-eng,1205371697403,5.47,10.47,2855393046604,6.53,7.24,30.06,5.00,87867.94,,,,,24.63599281
AVERAGE,465567655048.84,5.31,11.11,1686593803696,6.16,9.51,31.11,4.62,82520.24,14966714537769900000000.00,,m-not,16400915048,5.21,11.50,976965691930,5.93,10.89,31.75,4.82,79273.43,,,,,33.47599033
MODE.MULT,1312020.00,4.00,10.00,19139208,6.00,2.00,32.00,6.00,83043.00,#N/A,,,,,,,,,,,,,,,,0
MODE.SNGL,1312020.00,4.00,10.00,19139208,6.00,2.00,32.00,6.00,83043.00,#N/A,,w-eng,86630469424,6.176470588,10,1070605834604,5.411764706,13,29.76470588,4.352941176,65097.23529,,,,,
MEDIAN,41139114.00,5.00,11.00,1391212518,6.00,10.00,31.00,6.00,82787.00,218114415141337000.00,,w-not,81624262302,5.821428571,8.357142857,481470978642101,7,9.928571429,31.07142857,4.392857143,76845.64286,,,,,
VAR.P,7927038855435690000000000.00,2.13,48.54,37381022230081100000000000,2.00,44.74,10.81,3.92,586318445.07,4105480054814250000000000000000000000000000000.00,,,,,,,,,,,,,,,,
VAR.S,8107198829422860000000000.00,2.17,49.65,38230590917128400000000000,2.04,45.76,11.06,4.01,599643864.28,4198786419696400000000000000000000000000000000.00,,,,,,,,,,,,,,,,
AVEDEV,853017983346.33,1.27,5.81,2825520840807,1.05,6.01,2.70,1.72,17706.45,26595066425202500000000.00,,,,,,"Biggest indicators of success: Last name starting letter, race, wealth",,,,,,,,,,
